name	datetime	temp	feelslike	dew	humidity	precip	precipprob	preciptype	snow	snowdepth	windgust	windspeed	winddir	sealevelpressure	cloudcover	visibility	solarradiation	solarenergy	uvindex	severerisk	conditions	icon	stations
berlin	1992-07-03T02:00:00	18.5	18.5	5.7	43.13		0					13.7	18	1015.2	14.5	15.3					Clear	clear-night	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-03T03:00:00	18.3	18.3	4.7	40.74		0					11.9	357	1015.4	40	11.5					Partially cloudy	partly-cloudy-night	10384099999,10389099999,10385099999
berlin	1992-07-03T04:00:00	17.3	17.3	6.1	47.82		0					12.9	357	1015.5	50	11.5					Partially cloudy	partly-cloudy-night	10384099999,10389099999,10385099999
berlin	1992-07-03T05:00:00	16.1	16.1	7.5	56.63		0					9.5	7	1015.9	33	17.3					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-03T06:00:00	15.8	15.8	9.1	64.33		0					12.6	20	1016	80	11.9					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-03T07:00:00	16.7	16.7	9	60.2		0					6.7	46	1016.3	80	12.2					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-03T08:00:00	17.4	17.4	8.1	54.55		0					10.3	67	1016.7	54.6	20.9					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-03T09:00:00	18.9	18.9	8.4	50.53		0					7.5	63	1016.9	44	17.9					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-03T10:00:00	20.3	20.3	8.7	47.25		0					6.2	56	1016.9	50	11.9					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-03T11:00:00	22	22	7.4	39.03		0					1.6	294	1016.7	43	18.8					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-03T12:00:00	23.5	23.5	7.8	36.7		0					4.6	152	1016.4	30	12.2					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-03T13:00:00	24.3	24.3	7.6	34.58		0					4	292	1016.2	40	12.2					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-03T14:00:00	25.1	25.1	7.9	33.61		0					7.6	224	1015.7	75.5	17.5					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-03T15:00:00	25.1	25.1	8.1	33.84		0					12	223	1015.1	60	12.2					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-03T16:00:00	25.5	25.5	8.8	34.82		0					8.8	266	1014.6	51.5	17.5					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-03T17:00:00	25.4	25.4	9.3	36.07		0					1.6	261	1014.1	90	17.5					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-03T18:00:00	25.9	25.9	9.4	35.37		0					1.6	10	1013.5	60	12.2					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-03T19:00:00	26	26	9.7	35.75		0					3.9	290	1013.3	40	12.2					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-03T20:00:00	25.4	25.4	9.8	37.31		0					7.5	193	1013.1	85.5	17.3					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-03T21:00:00	24.8	24.8	10.1	39.51		0					7.7	233	1013	90	11.9					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-03T22:00:00	24.3	24.3	9.7	39.82		0					4.9	180	1012.8	90	11.9					Partially cloudy	partly-cloudy-night	10384099999,10389099999,10385099999
berlin	1992-07-03T23:00:00	22.8	22.8	10.5	45.62		0					14.7	107	1012.7	81.5	17					Partially cloudy	partly-cloudy-night	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-04T00:00:00	23.1	23.1	7.7	37.32		0					26.9	120	1012.5	90	11.5					Partially cloudy	partly-cloudy-night	10384099999,10389099999,10385099999
berlin	1992-07-04T01:00:00	22.6	22.6	8.1	39.38		0					26.1	135	1012	80	11.5					Partially cloudy	partly-cloudy-night	10384099999,10389099999,10385099999
berlin	1992-07-04T02:00:00	21.3	21.3	6.2	37.36		0					21.9	122	1011.4	33	18.5					Partially cloudy	partly-cloudy-night	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-04T03:00:00	20	20	4.8	36.76		0					18.6	138	1011	60	11.5					Partially cloudy	partly-cloudy-night	10384099999,10389099999,10385099999
berlin	1992-07-04T04:00:00	19.6	19.6	5.1	38.59		0					12.4	153	1010.4	80	11.5					Partially cloudy	partly-cloudy-night	10384099999,10389099999,10385099999
berlin	1992-07-04T05:00:00	19.1	19.1	5.7	41.59		0					9.8	135	1010	80	15.5					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-04T06:00:00	19	19	6.4	43.59		0					10.3	133	1009.2	90	11.5					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-04T07:00:00	19.1	19.1	7.5	46.96		0					12.9	135	1009.1	90	11.5					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-04T08:00:00	19.5	19.5	9.6	52.96		0					11.8	149	1008.4	98.5	14.4					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-04T09:00:00	20.4	20.4	11.4	56.41		0					10.2	148	1008.1	100	12					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-04T10:00:00	22.3	22.3	13.1	56.24		0					12	148	1008	100	10.4					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-04T11:00:00	23.2	23.2	14.8	59.1		0					7.9	151	1007.7	37.4	10.2					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-04T12:00:00	25.7	25.7	15.6	53.96		0					9.6	141	1007	60	11.2					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-04T13:00:00	26.9	27.3	15.7	50.16		0					11.1	161	1006.4	98.5	11.3					Overcast	cloudy	10384099999,10389099999,10385099999
berlin	1992-07-04T14:00:00	27.3	27.4	14.7	46.06		0					3.4	144	1005.9	93.5	12.2					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-04T15:00:00	26.2	26.2	14	47		0					8.8	188	1005.5	63	8.7					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
berlin	1992-07-04T16:00:00	20.3	20.3	17.4	83.26		0					10.9	325	1005.9	93.5	9.4					Overcast	cloudy	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-04T17:00:00	21.5	21.5	17.7	78.97		0					9.4	351	1006.2	83.5	10.8					Partially cloudy	partly-cloudy-day	10381099999,10384099999,10389099999,10385099999
berlin	1992-07-04T18:00:00	22.4	22.4	16.5	69.22		0					7	291	1006	90	10.3					Partially cloudy	partly-cloudy-day	10384099999,10389099999,10385099999
